web-scraper-order,web-scraper-start-url,Date,Open,Close*
"1616517206-712","https://finance.yahoo.com/quote/BABA/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Aug 03, 2020","254.02","257.94"
"1616517206-819","https://finance.yahoo.com/quote/BABA/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Mar 02, 2020","208.59","210.98"
"1616517206-651","https://finance.yahoo.com/quote/BABA/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Oct 28, 2020","313.50","307.94"
"1616517206-818","https://finance.yahoo.com/quote/BABA/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Mar 03, 2020","211.08","207.41"
"1616517206-829","https://finance.yahoo.com/quote/BABA/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 14, 2020","221.10","219.63"
"1616517206-585","https://finance.yahoo.com/quote/BABA/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 03, 2021","264.70","263.43"
"1616517206-576","https://finance.yahoo.com/quote/BABA/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 17, 2021","270.89","270.83"
"1616517206-579","https://finance.yahoo.com/quote/BABA/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 11, 2021","268.75","268.93"
"1616517206-706","https://finance.yahoo.com/quote/BABA/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Aug 11, 2020","251.29","248.42"
"1616517206-609","https://finance.yahoo.com/quote/BABA/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Dec 29, 2020","231.76","236.26"
"1616517206-635","https://finance.yahoo.com/quote/BABA/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Nov 19, 2020","255.00","259.89"
"1616517206-817","https://finance.yahoo.com/quote/BABA/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Mar 04, 2020","209.49","211.96"
"1616517206-699","https://finance.yahoo.com/quote/BABA/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Aug 20, 2020","256.89","257.97"
"1616517206-844","https://finance.yahoo.com/quote/BABA/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 24, 2020","218.49","213.75"
"1616517206-660","https://finance.yahoo.com/quote/BABA/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Oct 15, 2020","293.80","299.46"
"1616517206-599","https://finance.yahoo.com/quote/BABA/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 13, 2021","229.94","235.30"
"1616517206-790","https://finance.yahoo.com/quote/BABA/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Apr 13, 2020","197.40","199.44"
"1616517206-762","https://finance.yahoo.com/quote/BABA/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","May 21, 2020","211.29","212.16"
"1616517206-788","https://finance.yahoo.com/quote/BABA/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Apr 15, 2020","204.77","208.17"
