web-scraper-order,web-scraper-start-url,Date,Open,Close*
"1616515779-275","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 25, 2020","174.20","168.07"
"1616515779-1","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Mar 22, 2021","230.27","235.99"
"1616515779-274","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 26, 2020","169.71","170.17"
"1616515779-77","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Dec 01, 2020","214.51","216.21"
"1616515779-50","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 11, 2021","218.47","217.49"
"1616515779-299","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 22, 2020","167.40","165.70"
"1616515779-136","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Sep 09, 2020","207.60","211.29"
"1616515779-171","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jul 22, 2020","209.20","211.75"
"1616515779-264","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Mar 11, 2020","157.13","153.63"
"1616515779-201","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jun 09, 2020","188.00","189.80"
"1616515779-172","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jul 21, 2020","213.66","208.75"
"1616515779-108","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Oct 19, 2020","220.42","214.22"
"1616515779-126","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Sep 23, 2020","207.90","200.59"
"1616515779-132","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Sep 15, 2020","208.42","208.78"
"1616515779-37","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 29, 2021","235.99","231.96"
"1616515779-18","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 25, 2021","232.08","228.99"
"1616515779-191","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jun 23, 2020","202.09","201.91"
"1616515779-303","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 15, 2020","162.62","163.18"
"1616515779-167","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jul 28, 2020","203.61","202.02"
"1616515779-106","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Oct 21, 2020","213.12","214.80"
"1616515779-209","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","May 28, 2020","180.74","181.40"
"1616515779-166","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jul 29, 2020","202.50","204.06"
"1616515779-266","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Mar 09, 2020","151.00","150.62"
"1616515779-65","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Dec 17, 2020","219.87","219.42"
"1616515779-145","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Aug 26, 2020","217.88","221.15"
"1616515779-295","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 28, 2020","163.78","165.46"
"1616515779-49","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 12, 2021","216.50","214.93"
"1616515779-119","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Oct 02, 2020","208.00","206.19"
"1616515779-207","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jun 01, 2020","182.54","182.83"
"1616515779-115","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Oct 08, 2020","210.51","210.58"
"1616515779-212","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","May 22, 2020","183.19","183.51"
"1616515779-7","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Mar 12, 2021","234.01","235.75"
"1616515779-121","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Sep 30, 2020","207.73","210.33"
"1616515779-110","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Oct 15, 2020","217.10","219.66"
"1616515779-27","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 12, 2021","243.93","244.99"
"1616515779-43","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 21, 2021","224.70","224.97"
"1616515779-267","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Mar 06, 2020","162.61","161.57"
"1616515779-82","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Nov 23, 2020","210.95","210.11"
"1616515779-39","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 27, 2021","238.00","232.90"
"1616515779-293","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 30, 2020","174.05","172.78"
"1616515779-285","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 11, 2020","190.65","184.44"
"1616515779-34","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 03, 2021","239.57","243.00"
"1616515779-257","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Mar 20, 2020","146.00","137.35"
"1616515779-19","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 24, 2021","230.01","234.55"
"1616515779-283","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 13, 2020","183.08","183.71"
"1616515779-192","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jun 22, 2020","195.79","200.57"
"1616515779-232","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Apr 27, 2020","176.59","174.05"
