web-scraper-order,web-scraper-start-url,Date,Open,Close
"1616521277-898","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","May 19, 2020","55.68","55.40"
"1616521277-703","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 26, 2021","86.00","87.20"
"1616521277-721","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 01, 2021","91.66","93.91"
"1616521277-916","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Apr 24, 2020","52.66","52.85"
"1616521277-780","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Nov 04, 2020","77.48","78.71"
"1616521277-932","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Apr 01, 2020","48.01","47.06"
"1616521277-837","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Aug 14, 2020","65.45","64.87"
"1616521277-823","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Sep 03, 2020","68.37","67.22"
"1616521277-874","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jun 23, 2020","64.32","64.00"
"1616521277-975","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 30, 2020","48.11","49.08"
"1616521277-791","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Oct 20, 2020","72.64","72.75"
"1616521277-768","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Nov 20, 2020","75.96","76.40"
"1616521277-979","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 24, 2020","49.63","48.93"
"1616521277-919","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Apr 21, 2020","51.25","51.07"
"1616521277-690","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Mar 17, 2021","80.09","81.10"
"1616521277-864","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jul 08, 2020","69.87","70.89"
"1616521277-939","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Mar 23, 2020","46.07","46.42"
"1616521277-744","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Dec 28, 2020","68.15","67.28"
"1616521277-895","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","May 22, 2020","53.41","52.68"
"1616521277-754","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Dec 11, 2020","75.70","75.14"
"1616521277-789","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Oct 22, 2020","72.82","72.20"
"1616521277-872","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jun 25, 2020","62.45","62.72"
"1616521277-819","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Sep 10, 2020","65.90","64.98"
"1616521277-971","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 05, 2020","51.45","50.84"
"1616521277-712","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 12, 2021","99.01","99.10"
"1616521277-989","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 09, 2020","49.99","50.48"
"1616521277-796","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Oct 13, 2020","73.12","74.04"
"1616521277-879","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jun 16, 2020","58.64","58.08"
"1616521277-839","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Aug 12, 2020","68.00","68.00"
"1616521277-695","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Mar 10, 2021","86.29","84.59"
"1616521277-985","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 15, 2020","51.38","51.17"
"1616521277-869","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jun 30, 2020","64.08","64.00"
"1616521277-906","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","May 08, 2020","54.01","54.57"
"1616521277-811","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Sep 22, 2020","66.50","66.38"
"1616521277-755","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Dec 10, 2020","74.50","75.84"
"1616521277-727","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 22, 2021","88.90","90.35"
"1616521277-868","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jul 01, 2020","64.15","65.02"
"1616521277-892","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","May 28, 2020","52.94","52.25"
"1616521277-863","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jul 09, 2020","72.88","71.28"
"1616521277-731","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 15, 2021","82.60","82.25"
"1616521277-854","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jul 22, 2020","70.25","69.84"
"1616521277-888","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jun 03, 2020","56.18","56.29"
"1616521277-816","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Sep 15, 2020","69.05","68.98"
"1616521277-974","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 31, 2020","47.93","47.91"
"1616521277-980","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 23, 2020","49.02","49.85"
"1616521277-689","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Mar 18, 2021","81.55","81.00"
"1616521277-704","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 25, 2021","88.62","86.77"
"1616521277-992","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jan 06, 2020","48.33","48.77"
"1616521277-965","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 13, 2020","53.40","53.52"
"1616521277-764","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Nov 27, 2020","76.29","75.95"
"1616521277-934","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Mar 30, 2020","49.00","49.64"
"1616521277-702","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Mar 01, 2021","89.87","91.30"
"1616521277-808","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Sep 25, 2020","64.75","65.31"
"1616521277-749","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Dec 18, 2020","75.24","75.31"
"1616521277-818","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Sep 11, 2020","66.38","66.19"
"1616521277-801","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Oct 06, 2020","68.37","68.81"
"1616521277-792","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Oct 19, 2020","72.88","72.13"
"1616521277-812","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Sep 21, 2020","65.34","66.57"
"1616521277-798","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Oct 09, 2020","70.05","70.94"
