web-scraper-order,web-scraper-start-url,Date,Open,Close
"1616521019-601","https://finance.yahoo.com/quote/TSLA/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","May 05, 2020","157.96","153.64"
"1616521019-443","https://finance.yahoo.com/quote/TSLA/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Dec 16, 2020","628.23","622.77"
"1616521019-555","https://finance.yahoo.com/quote/TSLA/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jul 10, 2020","279.20","308.93"
"1616521019-468","https://finance.yahoo.com/quote/TSLA/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Nov 10, 2020","420.09","410.36"
"1616521019-510","https://finance.yahoo.com/quote/TSLA/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Sep 11, 2020","381.94","372.72"
"1616521019-387","https://finance.yahoo.com/quote/TSLA/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Mar 10, 2021","700.30","668.06"
"1616521019-654","https://finance.yahoo.com/quote/TSLA/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Feb 19, 2020","184.70","183.48"
"1616521019-549","https://finance.yahoo.com/quote/TSLA/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jul 20, 2020","303.80","328.60"
"1616521019-603","https://finance.yahoo.com/quote/TSLA/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","May 01, 2020","151.00","140.26"
"1616521019-562","https://finance.yahoo.com/quote/TSLA/history?period1=1577836800&period2=1616457600&interval=1d&filter=history&frequency=1d&includeAdjustedClose=true","Jun 30, 2020","201.30","215.96"
