web-scraper-order,web-scraper-start-url,Date,Open,Close
"1616360091-2","https://finance.yahoo.com/quote/AAPL/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2021","123.75","119.99"
"1616360091-21","https://finance.yahoo.com/quote/AAPL/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Feb 01, 2020","76.07","68.34"
"1616360091-19","https://finance.yahoo.com/quote/AAPL/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2020","70.57","63.57"
"1616360091-4","https://finance.yahoo.com/quote/AAPL/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Feb 01, 2021","133.75","121.26"
"1616360091-18","https://finance.yahoo.com/quote/AAPL/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Apr 01, 2020","61.63","73.45"
"1616360091-15","https://finance.yahoo.com/quote/AAPL/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jun 01, 2020","79.44","91.20"
"1616360091-5","https://finance.yahoo.com/quote/AAPL/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2021","133.52","131.96"
"1616360091-1","https://finance.yahoo.com/quote/AAPL/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 19, 2021","119.90","119.99"
"1616360091-10","https://finance.yahoo.com/quote/AAPL/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Sep 01, 2020","132.76","115.81"
"1616360091-13","https://finance.yahoo.com/quote/AAPL/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Aug 01, 2020","108.20","129.04"
"1616360091-9","https://finance.yahoo.com/quote/AAPL/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Oct 01, 2020","117.64","108.86"
"1616360091-14","https://finance.yahoo.com/quote/AAPL/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jul 01, 2020","91.28","106.26"
"1616360091-22","https://finance.yahoo.com/quote/AAPL/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2020","74.06","77.38"
"1616360091-17","https://finance.yahoo.com/quote/AAPL/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 01, 2020","71.56","79.49"
"1616360091-6","https://finance.yahoo.com/quote/AAPL/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Dec 01, 2020","121.01","132.69"
"1616360091-8","https://finance.yahoo.com/quote/AAPL/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Nov 01, 2020","109.11","119.05"
