web-scraper-order,web-scraper-start-url,Date,Open,Close
"1616360331-527","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2020","1,351.61","1,162.81"
"1616360331-526","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Apr 01, 2020","1,122.00","1,348.66"
"1616360331-521","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Sep 01, 2020","1,636.63","1,469.60"
"1616360331-529","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2020","1,341.55","1,434.23"
"1616360331-524","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jun 01, 2020","1,418.39","1,413.61"
"1616360331-517","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2021","1,757.54","1,835.74"
"1616360331-516","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Feb 01, 2021","1,853.57","2,036.86"
"1616360331-515","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2021","2,056.52","2,043.20"
"1616360331-522","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Aug 01, 2020","1,486.64","1,634.18"
"1616360331-523","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jul 01, 2020","1,411.10","1,482.96"
"1616360331-518","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Dec 01, 2020","1,774.37","1,751.88"
"1616360331-525","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 01, 2020","1,328.50","1,428.92"
"1616360331-514","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 19, 2021","2,042.05","2,043.20"
"1616360331-528","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Feb 01, 2020","1,462.00","1,339.33"
"1616360331-520","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Oct 01, 2020","1,484.27","1,621.01"
"1616360331-519","https://finance.yahoo.com/quote/GOOG/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Nov 01, 2020","1,628.16","1,760.74"
