web-scraper-order,web-scraper-start-url,Date,Open,Close*
"1616516906-551","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Feb 01, 2020","170.43","162.01"
"1616516906-547","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 01, 2020","175.80","183.25"
"1616516906-541","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Sep 01, 2020","225.51","210.33"
"1616516906-537","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Dec 01, 2020","214.51","222.42"
"1616516906-542","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Aug 19, 2020","0.51 Dividend","null"
"1616516906-539","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Nov 01, 2020","204.29","214.07"
"1616516906-538","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Nov 18, 2020","0.56 Dividend","null"
"1616516906-540","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Oct 01, 2020","213.49","202.47"
"1616516906-550","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Feb 19, 2020","0.51 Dividend","null"
"1616516906-533","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2021","235.90","235.99"
"1616516906-544","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jul 01, 2020","203.14","205.01"
"1616516906-548","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Apr 01, 2020","153.00","179.21"
"1616516906-536","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2021","222.53","231.96"
"1616516906-546","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 20, 2020","0.51 Dividend","null"
"1616516906-534","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Feb 17, 2021","0.56 Dividend","null"
"1616516906-552","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2020","158.78","170.23"
"1616516906-535","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Feb 01, 2021","235.06","232.38"
"1616516906-543","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Aug 01, 2020","211.52","225.53"
"1616516906-549","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2020","165.31","157.71"
"1616516906-545","https://finance.yahoo.com/quote/MSFT/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jun 01, 2020","182.54","203.51"
