web-scraper-order,web-scraper-start-url,Date,Open,Close
"1616360412-15","https://finance.yahoo.com/quote/NFLX/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Feb 01, 2020","347.24","369.03"
"1616360412-7","https://finance.yahoo.com/quote/NFLX/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Oct 01, 2020","506.03","475.74"
"1616360412-6","https://finance.yahoo.com/quote/NFLX/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Nov 01, 2020","478.87","490.70"
"1616360412-2","https://finance.yahoo.com/quote/NFLX/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2021","545.57","512.18"
"1616360412-12","https://finance.yahoo.com/quote/NFLX/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 01, 2020","415.10","419.73"
"1616360412-3","https://finance.yahoo.com/quote/NFLX/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Feb 01, 2021","536.79","538.85"
"1616360412-1","https://finance.yahoo.com/quote/NFLX/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 19, 2021","504.96","512.18"
"1616360412-9","https://finance.yahoo.com/quote/NFLX/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Aug 01, 2020","490.86","529.56"
"1616360412-16","https://finance.yahoo.com/quote/NFLX/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2020","326.10","345.09"
"1616360412-10","https://finance.yahoo.com/quote/NFLX/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jul 01, 2020","454.00","488.88"
"1616360412-4","https://finance.yahoo.com/quote/NFLX/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2021","539.00","532.39"
"1616360412-8","https://finance.yahoo.com/quote/NFLX/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Sep 01, 2020","532.60","500.03"
"1616360412-14","https://finance.yahoo.com/quote/NFLX/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2020","373.11","375.50"
"1616360412-13","https://finance.yahoo.com/quote/NFLX/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Apr 01, 2020","376.05","419.85"
"1616360412-5","https://finance.yahoo.com/quote/NFLX/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Dec 01, 2020","492.34","540.73"
"1616360412-11","https://finance.yahoo.com/quote/NFLX/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jun 01, 2020","418.83","455.04"
