web-scraper-order,web-scraper-start-url,Date,Open,Close
"1616521390-1008","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2020","49.65","49.09"
"1616521390-997","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2021","73.88","89.31"
"1616521390-1010","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2020","49.20","47.91"
"1616521390-998","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Dec 01, 2020","74.75","71.89"
"1616521390-996","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Feb 01, 2021","91.66","87.20"
"1616521390-1001","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Sep 01, 2020","69.73","67.65"
"1616521390-1007","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Apr 01, 2020","48.01","52.62"
"1616521390-1003","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jul 01, 2020","64.15","68.49"
"1616521390-999","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Nov 01, 2020","78.38","73.00"
"1616521390-995","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2021","89.87","82.77"
"1616521390-1006","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 01, 2020","51.49","54.32"
"1616521390-1000","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Oct 01, 2020","68.50","76.34"
"1616521390-1004","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jun 01, 2020","54.82","64.00"
"1616521390-1009","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Feb 01, 2020","48.76","49.65"
"1616521390-1002","https://finance.yahoo.com/quote/TCEHY/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Aug 01, 2020","69.51","68.34"
