web-scraper-order,web-scraper-start-url,Date,Open,Close
"1616520921-375","https://finance.yahoo.com/quote/TSLA/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Apr 01, 2020","100.80","156.38"
"1616520921-378","https://finance.yahoo.com/quote/TSLA/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2020","84.90","130.11"
"1616520921-364","https://finance.yahoo.com/quote/TSLA/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Feb 01, 2021","814.29","675.50"
"1616520921-374","https://finance.yahoo.com/quote/TSLA/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 01, 2020","151.00","167.00"
"1616520921-365","https://finance.yahoo.com/quote/TSLA/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2021","719.46","793.53"
"1616520921-366","https://finance.yahoo.com/quote/TSLA/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Dec 01, 2020","597.59","705.67"
"1616520921-373","https://finance.yahoo.com/quote/TSLA/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jun 01, 2020","171.60","215.96"
"1616520921-369","https://finance.yahoo.com/quote/TSLA/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Sep 01, 2020","502.14","429.01"
"1616520921-372","https://finance.yahoo.com/quote/TSLA/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jul 01, 2020","216.60","286.15"
"1616520921-377","https://finance.yahoo.com/quote/TSLA/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Feb 01, 2020","134.74","133.60"
"1616520921-363","https://finance.yahoo.com/quote/TSLA/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2021","690.11","670.00"
"1616520921-376","https://finance.yahoo.com/quote/TSLA/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2020","142.25","104.80"
"1616520921-371","https://finance.yahoo.com/quote/TSLA/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Aug 01, 2020","289.84","498.32"
"1616520921-367","https://finance.yahoo.com/quote/TSLA/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Nov 01, 2020","394.00","567.60"
"1616520921-368","https://finance.yahoo.com/quote/TSLA/history?period1=1577836800&period2=1616457600&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Oct 01, 2020","440.76","388.04"
