web-scraper-order,web-scraper-start-url,Date,Open,Close
"1616360218-42","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2021","3,270.00","3,206.20"
"1616360218-49","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jun 01, 2020","2,448.00","2,758.82"
"1616360218-46","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Sep 01, 2020","3,489.58","3,148.73"
"1616360218-47","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Aug 01, 2020","3,180.51","3,450.96"
"1616360218-45","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Oct 01, 2020","3,208.00","3,036.15"
"1616360218-50","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","May 01, 2020","2,336.80","2,442.37"
"1616360218-48","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jul 01, 2020","2,757.99","3,164.68"
"1616360218-44","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Nov 01, 2020","3,061.74","3,168.04"
"1616360218-52","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2020","1,906.49","1,949.72"
"1616360218-51","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Apr 01, 2020","1,932.97","2,474.00"
"1616360218-39","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 19, 2021","3,029.23","3,074.96"
"1616360218-53","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Feb 01, 2020","2,010.60","1,883.75"
"1616360218-43","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Dec 01, 2020","3,188.50","3,256.93"
"1616360218-54","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Jan 01, 2020","1,875.00","2,008.72"
"1616360218-41","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Feb 01, 2021","3,242.36","3,092.93"
"1616360218-40","https://finance.yahoo.com/quote/AMZN/history?period1=1577836800&period2=1616284800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true","Mar 01, 2021","3,127.89","3,074.96"
